Job ID,Job Title,Job Link,Predicted Rating,User ID,evaluation_rating
1176,RESEARCH ANALYST,https://philjobnet.gov.ph/job-vacancies/job/research-analyst-1050122,5,1,5
773,MARKETING ASSISTANT,https://philjobnet.gov.ph/job-vacancies/job/marketing-assistant-1052854,5,2,2
3024,HUMAN RESOURCE DEVELOPMENT MANAGER,https://philjobnet.gov.ph/job-vacancies/job/human-resource-development-manager-1044755,5,3,2
3024,HUMAN RESOURCE DEVELOPMENT MANAGER,https://philjobnet.gov.ph/job-vacancies/job/human-resource-development-manager-1044755,5,4,4
3478,DATA ANALYST,https://philjobnet.gov.ph/job-vacancies/job/data-analyst-1043886,5,5,5
2936,RESEARCH ANALYST,https://philjobnet.gov.ph/job-vacancies/job/research-analyst-1044844,4,6,3
116,SALES COORDINATOR,https://philjobnet.gov.ph/job-vacancies/job/sales-coordinator-1055968,5,7,1
1556,DATA ANALYST,https://philjobnet.gov.ph/job-vacancies/job/data-analyst-1048495,5,8,2
3478,DATA ANALYST,https://philjobnet.gov.ph/job-vacancies/job/data-analyst-1043886,5,9,3
3096,DATA ANALYST,https://philjobnet.gov.ph/job-vacancies/job/data-analyst-1044675,5,10,2
486,OPERATIONS OFFICER,https://philjobnet.gov.ph/job-vacancies/job/operations-officer-1053471,5,11,2
2728,ECONOMIC DEVELOPMENT ANALYST (GOV),https://philjobnet.gov.ph/job-vacancies/job/economic-development-analyst-gov-1045333,4,12,2
781,TECHNICAL AND COMMERCIAL SALES REPRESENTATIVE,https://philjobnet.gov.ph/job-vacancies/job/technical-and-commercial-sales-representative-1052808,4,13,1
946,RADIOLOGIC TECHNOLOGIST,https://philjobnet.gov.ph/job-vacancies/job/radiologic-technologist-1051929,5,14,4
219,FINANCIAL CONSULTANT,https://philjobnet.gov.ph/job-vacancies/job/financial-consultant-1055419,4,15,2
2936,RESEARCH ANALYST,https://philjobnet.gov.ph/job-vacancies/job/research-analyst-1044844,4,16,5
486,OPERATIONS OFFICER,https://philjobnet.gov.ph/job-vacancies/job/operations-officer-1053471,5,17,3
486,OPERATIONS OFFICER,https://philjobnet.gov.ph/job-vacancies/job/operations-officer-1053471,5,18,3
274,FINANCIAL ANALYST,https://philjobnet.gov.ph/job-vacancies/job/financial-analyst-1054988,5,19,4
2562,FINANCIAL PLANNER,https://philjobnet.gov.ph/job-vacancies/job/financial-planner-1045624,5,20,5
781,TECHNICAL AND COMMERCIAL SALES REPRESENTATIVE,https://philjobnet.gov.ph/job-vacancies/job/technical-and-commercial-sales-representative-1052808,4,21,3
1574,MEDICAL OFFICER,https://philjobnet.gov.ph/job-vacancies/job/medical-officer-1048398,5,22,4
781,TECHNICAL AND COMMERCIAL SALES REPRESENTATIVE,https://philjobnet.gov.ph/job-vacancies/job/technical-and-commercial-sales-representative-1052808,4,23,4
1556,DATA ANALYST,https://philjobnet.gov.ph/job-vacancies/job/data-analyst-1048495,5,24,3
2706,LEGAL RESEARCHER,https://philjobnet.gov.ph/job-vacancies/job/legal-researcher-1045358,5,25,1
3478,DATA ANALYST,https://philjobnet.gov.ph/job-vacancies/job/data-analyst-1043886,5,26,2
1176,RESEARCH ANALYST,https://philjobnet.gov.ph/job-vacancies/job/research-analyst-1050122,5,27,4
2185,VETERINARIAN (GENERAL),https://philjobnet.gov.ph/job-vacancies/job/veterinarian-general-1046710,5,28,1
2706,LEGAL RESEARCHER,https://philjobnet.gov.ph/job-vacancies/job/legal-researcher-1045358,5,29,5
1293,BUSINESS DEVELOPMENT/MARKETING SPECIALIST,https://philjobnet.gov.ph/job-vacancies/job/business-development-marketing-specialist-1049438,5,30,5
1662,MEDICAL SPECIALIST (GOV),https://philjobnet.gov.ph/job-vacancies/job/medical-specialist-gov-1048007,5,31,5
2441,STATISTICIAN I (GOV),https://philjobnet.gov.ph/job-vacancies/job/statistician-i-gov-1045859,5,32,4
806,BUSINESS DEVELOPMENT/MARKETING ANALYST (GOV),https://philjobnet.gov.ph/job-vacancies/job/business-development-marketing-analyst-gov-1052715,5,33,5
71,BUSINESS ANALYST,https://philjobnet.gov.ph/job-vacancies/job/business-analyst-1056153,,34,2
3096,DATA ANALYST,https://philjobnet.gov.ph/job-vacancies/job/data-analyst-1044675,5,35,3
274,FINANCIAL ANALYST,https://philjobnet.gov.ph/job-vacancies/job/financial-analyst-1054988,5,36,5
71,BUSINESS ANALYST,https://philjobnet.gov.ph/job-vacancies/job/business-analyst-1056153,,37,3
2862,CREDIT ANALYST,https://philjobnet.gov.ph/job-vacancies/job/credit-analyst-1045015,5,38,5
2862,CREDIT ANALYST,https://philjobnet.gov.ph/job-vacancies/job/credit-analyst-1045015,5,39,5
2862,CREDIT ANALYST,https://philjobnet.gov.ph/job-vacancies/job/credit-analyst-1045015,5,40,4
304,WEB DEVELOPER,https://philjobnet.gov.ph/job-vacancies/job/web-developer-1054886,5,41,1
781,TECHNICAL AND COMMERCIAL SALES REPRESENTATIVE,https://philjobnet.gov.ph/job-vacancies/job/technical-and-commercial-sales-representative-1052808,4,42,3
781,TECHNICAL AND COMMERCIAL SALES REPRESENTATIVE,https://philjobnet.gov.ph/job-vacancies/job/technical-and-commercial-sales-representative-1052808,4,43,1
1662,MEDICAL SPECIALIST (GOV),https://philjobnet.gov.ph/job-vacancies/job/medical-specialist-gov-1048007,5,44,4
587,COMPUTER ENGINEER,https://philjobnet.gov.ph/job-vacancies/job/computer-engineer-1053196,5,45,5
1574,MEDICAL OFFICER,https://philjobnet.gov.ph/job-vacancies/job/medical-officer-1048398,5,46,1
304,WEB DEVELOPER,https://philjobnet.gov.ph/job-vacancies/job/web-developer-1054886,5,47,5
3478,DATA ANALYST,https://philjobnet.gov.ph/job-vacancies/job/data-analyst-1043886,5,48,3
116,SALES COORDINATOR,https://philjobnet.gov.ph/job-vacancies/job/sales-coordinator-1055968,5,49,1
71,BUSINESS ANALYST,https://philjobnet.gov.ph/job-vacancies/job/business-analyst-1056153,,50,5
,,,,,3.24
,,,,,3